Orthogroup	Aggregate-gland	head	Duct	Sac	Tail	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	wholebody	Aciniform-Pyriform-gland	Flagelliform-gland
OG0004604	4.175745032474974	173.9958568682267	5.1128268323975155	3.9136497054971526	10.496235917697962	6.703238208567985	4.1487239919713765	7.957095677417277	4.501051623865598	1.724310247351644	3.543623141142578
OG0004605	20.54693636199047	24.685598810935332	12.397371993069608	2.2068798739801503	3.161670623001087	4.0122740025514005	3.534623872636282	4.324691550750072	3.1484224198727913	1.3851997269152163	1.6663547702749864
OG0004606	0.4827555418364874	0.4254740506286674	0.2716939707117535	0.2835081303714059	0.2190355998417739	0.2413386877735407	0.323770595111389	0.29413218101376	1.899444699972974	0.8516711121564763	0.3169129265119669
OG0004607	6.825549334286791	10.185480864683605	9.349523802442524	7.120719231990215	2.656206422471635	5.9504403886821216	4.821980317268155	4.327890235855393	4.725899204637805	6.500172262668551	8.192013612659117
OG0004608	2.9539042589347586	3.821453330848951	3.5088699589008234	2.454149051809753	2.4592787309633186	2.1550658079343963	2.491149629181988	2.179002797689862	8.390826464799606	7.298706609960964	2.0889141902308874
OG0004609	342.1464155479494	244.9922460877095	123.87457586317586	23.9603550549374	281.46410942508413	15.055819607299224	25.88577066666861	103.6626221025896	1316.6165638256082	36.254268248380505	5.053972415457002
OG0004610	32.36534514479247	14.327994828648626	11.025714932584972	2.8500318284939956	2.52724179877753	4.4459237572073995	3.162764281953564	3.225112674771608	5.352511209744444	5.920141309026981	5.575212886724572
OG0004612	16.48408850470519	72.10971879666923	14.31544823333068	7.561588012382777	2.2209769715692755	7.90150233706013	8.129674766630679	4.415857287787131	7.224487769342294	10.846768739825809	12.95310848915892
OG0004613	9.539390789591616	8.834237240258346	21.46346577068112	9.294108730377998	8.394452321896734	13.13940047515924	13.496322857626271	14.06909761966817	12.136457334362529	18.6168530252732	22.13332893690176
OG0004614	25.74936424274235	200.23604382994105	18.10415983356261	35.19640065544316	21.41270032365055	28.846512824370254	30.588486176259984	17.082625652739335	46.39175079886182	40.26221667693434	41.57726863677919
OG0004615	3.23636503099774	3.738570594559103	2.91654697743031	2.4451157400839265	1.395206368481973	2.4859075734237224	1.7977428244658882	2.169321907016152	3.361155996596066	3.8379847186362417	2.9996156401761467
