Orthogroup	Female-whole-body	Male-whole-body	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	Flagelliform-gland	Aggregate-gland	Aciniform-Pyriform-gland	Hemolymph	Pedipalp	Leg	Epidermis	Venom-gland	Fat-body	Ovary	Duct	Sac	Tail
OG0000000	871.599215015	673.446974661	751.919241011	712.232684337	801.272609643	617.9648643209999	583.587622333	800.448459661	2101.6950876700002	992.5963093180001	822.952023677	514.534795671	395.076322001	176.441887333	997.6830203459999	621.19666666	418.36999997099997	265.33333333700006
OG0000001	115.792363666	94.516509995	95.151665999	69.12998233600001	118.067618001	102.79993400400001	53.842958669000005	251.73940166	138.99413667800002	121.55534366300002	127.54828966699999	77.780396672	53.714140668	138.71259799900002	450.833376323	43.226666668	39.353333331	26.59
OG0000002	303.40259265099996	210.13494634299997	203.50634166100002	214.89538700299997	269.95167800800004	154.169698997	168.27276067199998	288.64786166900006	448.237024671	279.138838684	219.06254466800004	176.39260766399997	136.220516994	79.31187899999999	1688.5063820829998	167.40333333200002	83.01666667	62.683333327999996
OG0000003	1887.121577669	9526.0655933	1022.979662004	2979.616699637	765.324428338	2024.3798223269998	5114.309630997	1701.706680666	844.27880567	2056.9990453319997	1745.9355280050002	2118.1962813309997	689.4796099969999	908.660177636	257.79002103	155.20999999900002	1364.50333333	684.1733332629999
OG0000004	274.147929363	41.441150336	42.855104667	34.447793335	54.794885334	52.02743299800001	34.697309667	199.00806767199998	817.137817036	216.961394966	183.263246363	266.447608037	65.48168933100001	47.995018	29.595332998000003	144.423333329	78.719999994	40.810000001
OG0000005	1772.79217606	5.985271666000001	10.447983001	353.748997331	4.164951	3.504165668	2.9746573329999997	515.8697916259999	7.280416666000001	2900.667313668999	1965.9326149429999	404.085960953	5.264069333999999	124.908402675	197.52295966399998	9.403333331999999	13.673333332999999	1.433333334
OG0000006	4.195245667	3.211395	6.808083999999999	6.111383333	6.535020667	8.469372334	3.036243666	3.622948333	15.851329332999999	4.196001	3.8865460009999997	1.6396633330000001	1.2963086670000001	0.740895	7.367590333	4.54	0.856666667	0.816666667
OG0000008	516.3082703330001	186.77441699000002	92.297122993	217.65692466599995	75.758685664	54.468211999000005	159.62817766599997	1056.593418324	343.060998996	839.7454343489999	675.659436277	247.803140674	122.507803323	885.2694630669998	29.224833668	127.97666666200001	78.800000004	47.670000003
OG0000009	15.704332666	17.939379334	16.896567335	9.104809999999999	14.400852998999998	10.408060332999998	11.281299667	78.290303338	13.627918333	26.464897331	15.947590667	22.154389333	13.307343998999999	73.49452733	5.1664646670000005	36.80333333	17.739999999000002	7.743333334000001
OG0000010	273.141153968	200.11465734200002	113.40981032500001	477.979793004	106.660340672	109.29736433599999	257.085964033	275.97883566999997	104.83943067	511.560378014	351.06406132899997	825.2093780760001	249.61930766299997	235.175172011	141.29353466700005	144.50666666399997	105.400000002	23.846666667999997
